,BTS,EXO,TWICE,GOT7,TXT,SEVENTEEN,NCT,NCT 127,Stray Kids,NCT Dream,BLACKPINK,Red Velvet,MONSTA X,ENHYPEN,ITZY,ASTRO,Girls' Generation,ATEEZ,TREASURE,SuperM,Wanna One,MAMAMOO,aespa,DAY6,SHINee,WayV,BIGBANG,THE BOYZ,BTOB,SUPER JUNIOR
BTS,0.99999994,0.9129457,0.79001004,0.71273565,0.8445887,0.8235607,0.8448128,0.9538373,0.75335854,0.85150623,0.8106034,0.8309416,0.92250323,0.8940864,0.86439514,0.8253841,0.8801376,0.89467245,0.8886351,0.88682544,0.8899904,0.8038805,0.941955,0.75483835,0.8815592,0.55503327,0.8422074,0.89892924,0.84292036,0.8518192
EXO,0.9129457,0.9999999,0.71509993,0.6137245,0.78582346,0.79483837,0.7179784,0.9162905,0.60835403,0.8526581,0.9364028,0.9322366,0.8811911,0.8273848,0.9221531,0.92337084,0.9377095,0.89417857,0.9519619,0.9366951,0.9476613,0.9318707,0.865003,0.6453867,0.9416325,0.43027997,0.9392035,0.9742522,0.921584,0.94299424
TWICE,0.79001004,0.71509993,1.0,0.92735267,0.9151344,0.9146744,0.9403734,0.8781091,0.94029105,0.88043374,0.615442,0.6685456,0.8815474,0.91638947,0.8267058,0.5629369,0.78344214,0.80891377,0.7085808,0.8191338,0.7047005,0.604779,0.8522252,0.911881,0.8176421,0.84692985,0.5907471,0.66508317,0.73662794,0.6063353
GOT7,0.71273565,0.6137245,0.92735267,0.9999999,0.88376606,0.9362288,0.90475404,0.79731935,0.91938144,0.7822779,0.46032673,0.53946793,0.7939375,0.8864681,0.7001352,0.42672572,0.6475179,0.73244005,0.57493705,0.7027127,0.5702904,0.45155236,0.7782814,0.9542326,0.7156482,0.9360527,0.46108377,0.52893114,0.6388664,0.468294
TXT,0.8445887,0.78582346,0.9151344,0.88376606,1.0,0.93787503,0.88953775,0.89853483,0.88319814,0.9009703,0.71562594,0.7446894,0.89175296,0.90507597,0.8424256,0.69541323,0.80958956,0.8911122,0.80160695,0.8447207,0.77261615,0.6888093,0.8858842,0.89329296,0.8490803,0.7444296,0.7136409,0.7496376,0.8010711,0.6955037
SEVENTEEN,0.8235607,0.79483837,0.9146744,0.9362288,0.93787503,0.99999994,0.9039627,0.8826783,0.8732538,0.86760867,0.6758494,0.70818657,0.8679639,0.911019,0.8342875,0.6397223,0.78543216,0.88152045,0.7575208,0.8565392,0.73818254,0.6525617,0.8717804,0.90898925,0.8433877,0.82488,0.67707527,0.7259787,0.8028328,0.6717156
NCT,0.8448128,0.7179784,0.9403734,0.90475404,0.88953775,0.9039627,1.0,0.8834705,0.91779035,0.8303388,0.5983737,0.6084732,0.88667375,0.9025583,0.7723723,0.52863014,0.7654481,0.78502077,0.7011443,0.8227681,0.69049287,0.579281,0.893955,0.89013135,0.76736736,0.8321672,0.5640887,0.67340696,0.72067523,0.60378706
NCT 127,0.9538373,0.9162905,0.8781091,0.79731935,0.89853483,0.8826783,0.8834705,1.0,0.8313764,0.92809385,0.83752495,0.8678782,0.970064,0.93885183,0.93346184,0.8174215,0.9266248,0.9196935,0.91378397,0.9272809,0.89198387,0.832981,0.941312,0.82094204,0.92259014,0.632222,0.83580583,0.89321196,0.88529503,0.85910285
Stray Kids,0.75335854,0.60835403,0.94029105,0.91938144,0.88319814,0.8732538,0.91779035,0.8313764,1.0,0.82038355,0.49335638,0.5591735,0.8588869,0.8897879,0.73656946,0.46024847,0.6928232,0.7640279,0.62366354,0.7236612,0.61592823,0.48896655,0.8436315,0.9056698,0.7038163,0.8590517,0.4799829,0.5683093,0.65824467,0.5092728
NCT Dream,0.85150623,0.8526581,0.88043374,0.7822779,0.9009703,0.86760867,0.8303388,0.92809385,0.82038355,1.0,0.84327286,0.88691664,0.9122528,0.8585256,0.94027156,0.79195654,0.9072962,0.91899365,0.8816596,0.8894692,0.891609,0.83541536,0.87625504,0.8427091,0.9339864,0.59829104,0.81859696,0.84060585,0.90489113,0.8287641
BLACKPINK,0.8106034,0.9364028,0.615442,0.46032673,0.71562594,0.6758494,0.5983737,0.83752495,0.49335638,0.84327286,1.0000001,0.95094216,0.79961157,0.6861752,0.9129383,0.9339352,0.92040443,0.85326564,0.9680535,0.90808105,0.9433252,0.9772849,0.7815331,0.5052652,0.91751564,0.24884939,0.959389,0.95805776,0.92967796,0.9720087
Red Velvet,0.8309416,0.9322366,0.6685456,0.53946793,0.7446894,0.70818657,0.6084732,0.8678782,0.5591735,0.88691664,0.95094216,1.0,0.8501948,0.7569322,0.9465702,0.9599485,0.94254667,0.8829796,0.9510471,0.8635469,0.97299325,0.9731826,0.7747905,0.59402835,0.9478394,0.29605782,0.9594568,0.9437008,0.94261026,0.95837307
MONSTA X,0.92250323,0.8811911,0.8815474,0.7939375,0.89175296,0.8679639,0.88667375,0.970064,0.8588869,0.9122528,0.79961157,0.8501948,1.0,0.9448414,0.9235825,0.79841346,0.9241576,0.90483946,0.8961024,0.88520306,0.8864262,0.8143463,0.9238359,0.8140297,0.89554805,0.62538075,0.7950536,0.8705174,0.8778901,0.8300817
ENHYPEN,0.8940864,0.8273848,0.91638947,0.8864681,0.90507597,0.911019,0.9025583,0.93885183,0.8897879,0.8585256,0.6861752,0.7569322,0.9448414,1.0000001,0.8640972,0.699293,0.84955233,0.8640605,0.7909277,0.83644587,0.7864144,0.6865678,0.8989259,0.8682469,0.85286224,0.7737814,0.69971573,0.7780833,0.79650867,0.7113869
ITZY,0.86439514,0.9221531,0.8267058,0.7001352,0.8424256,0.8342875,0.7723723,0.93346184,0.73656946,0.94027156,0.9129383,0.9465702,0.9235825,0.8640972,1.0,0.8813259,0.9685723,0.92181915,0.9338465,0.9343298,0.9455558,0.91964996,0.8639633,0.7195272,0.95922315,0.5071024,0.893805,0.9197375,0.9412498,0.907961
ASTRO,0.8253841,0.92337084,0.5629369,0.42672572,0.69541323,0.6397223,0.52863014,0.8174215,0.46024847,0.79195654,0.9339352,0.9599485,0.79841346,0.699293,0.8813259,0.9999999,0.8949407,0.8662518,0.93694675,0.82706195,0.94653493,0.95620394,0.7552819,0.4826279,0.8831676,0.16690691,0.97470415,0.9513397,0.90150887,0.95305496
Girls' Generation,0.8801376,0.9377095,0.78344214,0.6475179,0.80958956,0.78543216,0.7654481,0.9266248,0.6928232,0.9072962,0.92040443,0.94254667,0.9241576,0.84955233,0.9685723,0.8949407,0.9999998,0.8857342,0.9378246,0.9141987,0.9458841,0.9362795,0.8440844,0.6832283,0.93440294,0.44679895,0.8960121,0.94163334,0.9314352,0.9071231
ATEEZ,0.89467245,0.89417857,0.80891377,0.73244005,0.8911122,0.88152045,0.78502077,0.9196935,0.7640279,0.91899365,0.85326564,0.8829796,0.90483946,0.8640605,0.92181915,0.8662518,0.8857342,1.0,0.916612,0.9147279,0.89062643,0.8444994,0.91310334,0.7639639,0.9057659,0.53924674,0.8955213,0.8897071,0.9207027,0.87155926
TREASURE,0.8886351,0.9519619,0.7085808,0.57493705,0.80160695,0.7575208,0.7011443,0.91378397,0.62366354,0.8816596,0.9680535,0.9510471,0.8961024,0.7909277,0.9338465,0.93694675,0.9378246,0.916612,0.9999999,0.92626756,0.95463836,0.9623636,0.8610607,0.6209792,0.9336289,0.36155355,0.9542285,0.970636,0.9464365,0.9743705
SuperM,0.88682544,0.9366951,0.8191338,0.7027127,0.8447207,0.8565392,0.8227681,0.9272809,0.7236612,0.8894692,0.90808105,0.8635469,0.88520306,0.83644587,0.9343298,0.82706195,0.9141987,0.9147279,0.92626756,1.0,0.89830816,0.87732524,0.91723776,0.69647133,0.93318397,0.5603773,0.8742013,0.9183017,0.9204265,0.8996626
Wanna One,0.8899904,0.9476613,0.7047005,0.5702904,0.77261615,0.73818254,0.69049287,0.89198387,0.61592823,0.891609,0.9433252,0.97299325,0.8864262,0.7864144,0.9455558,0.94653493,0.9458841,0.89062643,0.95463836,0.89830816,1.0,0.9611848,0.8462889,0.6198747,0.95640236,0.34372997,0.94465935,0.95916,0.9540539,0.9629246
MAMAMOO,0.8038805,0.9318707,0.604779,0.45155236,0.6888093,0.6525617,0.579281,0.832981,0.48896655,0.83541536,0.9772849,0.9731826,0.8143463,0.6865678,0.91964996,0.95620394,0.9362795,0.8444994,0.9623636,0.87732524,0.9611848,1.0,0.75346756,0.50484973,0.9110643,0.21557356,0.958638,0.9576247,0.9408715,0.97210157
aespa,0.941955,0.865003,0.8522252,0.7782814,0.8858842,0.8717804,0.893955,0.941312,0.8436315,0.87625504,0.7815331,0.7747905,0.9238359,0.8989259,0.8639633,0.7552819,0.8440844,0.91310334,0.8610607,0.91723776,0.8462889,0.75346756,1.0,0.7858877,0.87116385,0.6480453,0.7813908,0.85440934,0.8496984,0.80799806
DAY6,0.75483835,0.6453867,0.911881,0.9542326,0.89329296,0.90898925,0.89013135,0.82094204,0.9056698,0.8427091,0.5052652,0.59402835,0.8140297,0.8682469,0.7195272,0.4826279,0.6832283,0.7639639,0.6209792,0.69647133,0.6198747,0.50484973,0.7858877,0.99999994,0.74074626,0.8598526,0.5167797,0.57096696,0.6663123,0.5100421
SHINee,0.8815592,0.9416325,0.8176421,0.7156482,0.8490803,0.8433877,0.76736736,0.92259014,0.7038163,0.9339864,0.91751564,0.9478394,0.89554805,0.85286224,0.95922315,0.8831676,0.93440294,0.9057659,0.9336289,0.93318397,0.95640236,0.9110643,0.87116385,0.74074626,1.0,0.5234505,0.90510297,0.9182068,0.94971657,0.920099
WayV,0.55503327,0.43027997,0.84692985,0.9360527,0.7444296,0.82488,0.8321672,0.632222,0.8590517,0.59829104,0.24884939,0.29605782,0.62538075,0.7737814,0.5071024,0.16690691,0.44679895,0.53924674,0.36155355,0.5603773,0.34372997,0.21557356,0.6480453,0.8598526,0.5234505,1.0,0.21831577,0.31893933,0.42689916,0.23623835
BIGBANG,0.8422074,0.9392035,0.5907471,0.46108377,0.7136409,0.67707527,0.5640887,0.83580583,0.4799829,0.81859696,0.959389,0.9594568,0.7950536,0.69971573,0.893805,0.97470415,0.8960121,0.8955213,0.9542285,0.8742013,0.94465935,0.958638,0.7813908,0.5167797,0.90510297,0.21831577,0.99999994,0.9586462,0.9133445,0.9718044
THE BOYZ,0.89892924,0.9742522,0.66508317,0.52893114,0.7496376,0.7259787,0.67340696,0.89321196,0.5683093,0.84060585,0.95805776,0.9437008,0.8705174,0.7780833,0.9197375,0.9513397,0.94163334,0.8897071,0.970636,0.9183017,0.95916,0.9576247,0.85440934,0.57096696,0.9182068,0.31893933,0.9586462,0.9999999,0.92299116,0.96826947
BTOB,0.84292036,0.921584,0.73662794,0.6388664,0.8010711,0.8028328,0.72067523,0.88529503,0.65824467,0.90489113,0.92967796,0.94261026,0.8778901,0.79650867,0.9412498,0.90150887,0.9314352,0.9207027,0.9464365,0.9204265,0.9540539,0.9408715,0.8496984,0.6663123,0.94971657,0.42689916,0.9133445,0.92299116,1.0,0.9332797
SUPER JUNIOR,0.8518192,0.94299424,0.6063353,0.468294,0.6955037,0.6717156,0.60378706,0.85910285,0.5092728,0.8287641,0.9720087,0.95837307,0.8300817,0.7113869,0.907961,0.95305496,0.9071231,0.87155926,0.9743705,0.8996626,0.9629246,0.97210157,0.80799806,0.5100421,0.920099,0.23623835,0.9718044,0.96826947,0.9332797,1.0
